ninja: Entering directory `C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\.cxx\Debug\3l54y586\arm64-v8a'
[73/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/encode_key2any.c.o
[74/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/exchange/ecdh_exch.c.o
[75/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/exchange/kdf_exch.c.o
[76/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/decode_pem2der.c.o
[77/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/exchange/dh_exch.c.o
[78/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kem/rsa_kem.c.o
[79/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/keymgmt/dh_kmgmt.c.o
[80/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/keymgmt/ec_kmgmt.c.o
[81/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/keymgmt/dsa_kmgmt.c.o
[82/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/keymgmt/kdf_legacy_kmgmt.c.o
[83/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/keymgmt/ecx_kmgmt.c.o
[84/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/keymgmt/rsa_kmgmt.c.o
[85/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/sskdf.c.o
[86/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/tls1_prf.c.o
[87/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_int.c.o
[88/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/x942kdf.c.o
[89/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/keymgmt/mac_legacy_kmgmt.c.o
[90/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_gentm.c.o
[91/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_dup.c.o
[92/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_i2d_fp.c.o
[93/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/pkcs12kdf.c.o
[94/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_digest.c.o
[95/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/macs/blake2b_mac.c.o
[96/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/macs/cmac_prov.c.o
[97/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/macs/blake2s_mac.c.o
[98/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/macs/hmac_prov.c.o
[99/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/macs/kmac_prov.c.o
[100/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/macs/siphash_prov.c.o
[101/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/pbkdf2.c.o
[102/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/macs/poly1305_prov.c.o
[103/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/rands/drbg_hmac.c.o
[104/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/macs/gmac_prov.c.o
[105/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/rands/drbg_hash.c.o
[106/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/rands/seed_src.c.o
[107/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/rands/drbg.c.o
[108/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/signature/dsa_sig.c.o
[109/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/signature/ecdsa_sig.c.o
[110/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/rands/drbg_ctr.c.o
[111/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/signature/eddsa_sig.c.o
[112/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/rands/test_rng.c.o
[113/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/signature/mac_legacy_sig.c.o
[114/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/storemgmt/file_store_any2obj.c.o
[115/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/storemgmt/file_store.c.o
[116/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/rands/seeding/rand_unix.c.o
[117/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/legacyprov.c.o
[118/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/prov_running.c.o
[119/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_rc4_hmac_md5_hw.c.o
[120/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/signature/sm2_sig.c.o
[121/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_rc4.c.o
[122/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/signature/rsa_sig.c.o
[123/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/aes/aes_cbc.c.o
[124/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/aes/aes_cfb.c.o
[125/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/pbkdf1.c.o
[126/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/aes/aes_ige.c.o
[127/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/aes/aes_misc.c.o
[128/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/aes/aes_ecb.c.o
[129/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/aes/aes_ofb.c.o
[130/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1_dsa.c.o
[131/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/aes/aes_wrap.c.o
[132/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_bitstr.c.o
[133/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/aria/aria.c.o
[134/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_print.c.o
[135/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_mbstr.c.o
[136/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_d2i_fp.c.o
[137/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_object.c.o
[138/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_octet.c.o
[139/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_type.c.o
[140/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_strnid.c.o
[141/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/asn1_err.c.o
[142/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_sign.c.o
[143/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_utctm.c.o
[144/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_time.c.o
[145/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_utf8.c.o
[146/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_verify.c.o
[147/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/a_strex.c.o
[148/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/ameth_lib.c.o
[149/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/asn_moid.c.o
[150/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/asn1_gen.c.o
[151/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/bio_asn1.c.o
[152/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/asn_mstbl.c.o
[153/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/asn1_lib.c.o
[154/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/bio_ndef.c.o
[155/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/asn_pack.c.o
[156/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/asn_mime.c.o
[157/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/d2i_param.c.o
[158/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/f_string.c.o
[159/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/asn1_parse.c.o
[160/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/evp_asn1.c.o
[161/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/f_int.c.o
[162/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/d2i_pu.c.o
[163/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/n_pkey.c.o
[164/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/nsseq.c.o
[165/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/i2d_evp.c.o
[166/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/p5_pbe.c.o
[167/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/d2i_pr.c.o
[168/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/tasn_dec.c.o
[169/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/p5_pbev2.c.o
[170/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/p5_scrypt.c.o
[171/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/t_pkey.c.o
[172/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/p8_pkey.c.o
[173/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/tasn_fre.c.o
[174/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/t_bitst.c.o
[175/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/tasn_scn.c.o
[176/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/tasn_new.c.o
[177/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/dh_support.c.o
[178/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/tasn_enc.c.o
[179/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/asn1/tasn_prn.c.o
[180/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/dh_ctrl.c.o
[181/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_aes_cbc_hmac_sha1.c.o
[182/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_bf.c.o
[183/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/dsa_ctrl.c.o
[184/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/ctrl_params_translate.c.o
[185/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_aria.c.o
[186/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/digest.c.o
[187/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_aes_cbc_hmac_sha256.c.o
[188/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_des3.c.o
[189/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_old.c.o
[190/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_aes.c.o
[191/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_null.c.o
[192/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_des.c.o
[193/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_chacha20_poly1305.c.o
[194/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_sm4.c.o
[195/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_rc4.c.o
[196/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_rc4_hmac_md5.c.o
[197/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_rc5.c.o
[198/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_rc2.c.o
[199/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/ec_support.c.o
[200/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/encode.c.o
[201/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_cnf.c.o
[202/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/e_xcbc_d.c.o
[203/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/ec_ctrl.c.o
[204/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_err.c.o
[205/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_utils.c.o
[206/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_fetch.c.o
[207/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_key.c.o
[208/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/kdf_lib.c.o
[209/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_lib.c.o
[210/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/exchange.c.o
[211/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_pkey.c.o
[212/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_enc.c.o
[213/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/kdf_meth.c.o
[214/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/legacy_blake2.c.o
[215/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/keymgmt_meth.c.o
[216/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_pbe.c.o
[217/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/legacy_md4.c.o
[218/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/kem.c.o
[219/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/keymgmt_lib.c.o
[220/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/legacy_md5.c.o
[221/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/legacy_sha.c.o
[222/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/legacy_md5_sha1.c.o
[223/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/mac_lib.c.o
[224/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/m_sigver.c.o
[225/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/m_null.c.o
[226/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p5_crpt.c.o
[227/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/mac_meth.c.o
[228/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p_enc.c.o
[229/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p_legacy.c.o
[230/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/names.c.o
[231/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p5_crpt2.c.o
[232/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p_verify.c.o
[233/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p_dec.c.o
[234/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/pbe_scrypt.c.o
[235/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p_sign.c.o
[236/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p_open.c.o
[237/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/signature.c.o
[238/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/evp_rand.c.o
[239/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p_lib.c.o
[240/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/p_seal.c.o
[241/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/pmeth_check.c.o
[242/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/ffc/ffc_key_generate.c.o
[243/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/ffc/ffc_backend.c.o
[244/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/pmeth_gn.c.o
[245/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/ex_data.c.o
[246/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/ffc/ffc_key_validate.c.o
[247/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/ffc/ffc_dh.c.o
[248/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/hmac/hmac.c.o
[249/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/evp/pmeth_lib.c.o
[250/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/getenv.c.o
[251/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/ffc/ffc_params.c.o
[252/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/http/http_lib.c.o
[253/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/ffc/ffc_params_validate.c.o
[254/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/info.c.o
[255/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/ffc/ffc_params_generate.c.o
[256/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/initthread.c.o
[257/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/http/http_err.c.o
[258/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/kdf/kdf_err.c.o
[259/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/init.c.o
[260/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/md4/md4_dgst.c.o
[261/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/http/http_client.c.o
[262/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/lhash/lh_stats.c.o
[263/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/md5/md5_one.c.o
[264/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/lhash/lhash.c.o
[265/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/rc2/rc2_cbc.c.o
[266/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/mem.c.o
[267/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/md4/md4_one.c.o
[268/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/md5/md5_dgst.c.o
[269/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/md5/md5_sha1.c.o
[270/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1.c.o
[271/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1_99.c.o
[272/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1b_2.c.o
[273/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1a_99.c.o
[274/1047] Building C object CMakeFiles/crypto.dir/openssl/crypto/mem_sec.c.o
[275/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1a.c.o
[276/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1b_3.c.o
[277/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1b_1.c.o
[278/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1b_4.c.o
[279/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1b_5.c.o
[280/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1b_6.c.o
[281/1047] Building C object CMakeFiles/lzo.dir/lzo/src/lzo1b_8.c.o
